id,county_id,year,population
875,110,2013,214198
876,110,2014,217509
877,110,2016,224363
878,110,2017,228168
879,110,2012,211809
880,110,2010,210969
881,111,2012,202105
882,111,2015,203558
883,111,2014,203039
884,111,2011,202581
885,111,2017,207534
886,111,2013,201810
887,111,2010,197124
888,111,2016,205463
889,112,2014,18484
890,112,2011,18869
891,112,2010,19016
892,112,2016,18215
893,112,2017,17967
894,112,2013,18746
895,112,2012,18957
896,112,2015,18350
897,113,2017,20283
898,113,2013,21281
899,113,2010,21833
900,113,2012,21518
901,113,2011,21673
902,113,2015,20837
903,113,2014,20958
904,113,2016,20498
905,114,2017,41355
906,114,2011,41341
907,114,2013,40976
908,114,2015,41118
909,114,2010,41511
910,114,2012,41076
911,114,2014,40871
912,114,2016,41145
913,115,2014,244192
914,115,2011,228827
915,115,2010,222558
916,115,2013,238902
917,115,2015,251016
918,115,2016,258704
919,115,2017,266300
920,115,2012,234315
921,116,2013,37305
922,116,2015,37091
923,116,2016,37191
924,116,2014,37090
925,116,2012,37308
926,116,2017,37381
927,116,2011,37063
928,116,2010,36882
929,117,2016,10979
930,117,2011,11425
931,117,2017,10864
932,117,2012,11262
933,117,2014,11007
934,117,2013,11120
935,117,2015,10998
936,117,2010,11472
937,118,2017,5247
938,118,2013,5193
939,118,2012,5278
940,118,2014,5168
941,118,2011,5243
942,118,2015,5201
943,118,2016,5162
944,118,2010,5362
945,119,2017,27944
946,119,2015,27751
947,119,2011,27448
948,119,2010,27546
949,119,2013,27771
950,119,2012,27595
951,119,2016,27728
952,119,2014,27715
953,120,2013,11347
954,120,2012,11486
955,120,2014,11187
956,120,2015,10957
957,120,2017,10636
958,120,2010,11799
959,120,2016,10912
960,120,2011,11693
961,121,2010,22927
962,121,2016,22550
963,121,2012,22745
964,121,2017,22293
965,121,2015,22506
966,121,2013,22574
967,121,2011,22918
968,121,2014,22551
969,122,2011,15872
970,122,2015,15197
971,122,2016,15057
972,122,2010,16049
973,122,2012,15706
974,122,2013,15481
975,122,2017,14920
976,122,2014,15295
977,123,2016,25159
978,123,2017,25048
979,123,2014,25603
980,123,2015,25358
981,123,2013,25638
982,123,2011,25890
983,123,2012,25773
984,123,2010,26003
985,124,2010,8678
986,124,2016,8260
987,124,2012,8607
988,124,2011,8672
989,124,2015,8284
990,124,2014,8397
991,124,2017,8202
992,124,2013,8515
993,125,2015,24089
994,125,2016,23983
995,125,2014,24014
996,125,2011,24682
997,125,2012,24373
998,125,2017,23627
999,125,2013,24247
1000,125,2010,24722
1001,126,2012,21127
1002,126,2010,21217
1003,126,2017,20916
1004,126,2013,21071
1005,126,2011,21115
1006,126,2015,20912
1007,126,2014,20977
1008,126,2016,20895
1009,127,2012,99854
1010,127,2015,104297
1011,127,2014,102526
1012,127,2010,96737
1013,127,2013,101513
1014,127,2017,107115
1015,127,2011,98310
1016,127,2016,105781
1017,128,2014,61797
1018,128,2015,61877
1019,128,2013,61664
1020,128,2010,61969
1021,128,2012,61901
1022,128,2011,61799
1023,128,2016,62259
1024,128,2017,62996
1025,129,2011,50504
1026,129,2015,49040
1027,129,2016,49320
1028,129,2013,49731
1029,129,2014,49550
1030,129,2010,50960
1031,129,2012,50061
1032,129,2017,48750
1033,130,2010,17850
1034,130,2015,17240
1035,130,2012,17691
1036,130,2017,16863
1037,130,2011,17796
1038,130,2016,17037
1039,130,2013,17511
1040,130,2014,17171
1041,131,2017,7393
1042,131,2014,7687
1043,131,2012,7947
1044,131,2015,7529
1045,131,2013,7887
1046,131,2016,7430
1047,131,2011,8047
1048,131,2010,8064
1049,132,2013,12489
1050,132,2016,11920
1051,132,2011,12727
1052,132,2010,12952
1053,132,2014,12268
1054,132,2012,12585
1055,132,2015,12029
1056,132,2017,11764
1057,133,2014,18635
1058,133,2015,18617
1059,133,2013,18672
1060,133,2011,18725
1061,133,2017,18547
1062,133,2016,18628
1063,133,2010,18666
1064,133,2012,18776
1065,134,2010,114028
1066,134,2016,122083
1067,134,2011,116223
1068,134,2013,119096
1069,134,2015,121113
1070,134,2017,123654
1071,134,2014,120463
1072,134,2012,118421
1073,135,2012,17945
1074,135,2010,18128
1075,135,2017,17890
1076,135,2011,17993
1077,135,2016,17671
1078,135,2013,17900
1079,135,2014,17815
1080,135,2015,17739
1081,136,2014,12074
1082,136,2011,12238
